recall,precision,method
0.9857333333333334,0.29547180368490467,FedTROS-PR
0.9856,0.2954790742295239,FedTROS-PR
0.9856,0.2954908858330668,FedTROS-PR
0.9855333333333334,0.29551224387806097,FedTROS-PR
0.9854666666666667,0.29564,FedTROS-PR
0.9854666666666667,0.29565773946436785,FedTROS-PR
0.9854,0.2956554786574389,FedTROS-PR
0.9852666666666666,0.29571011244947776,FedTROS-PR
0.9852666666666666,0.2959529006548251,FedTROS-PR
0.9852,0.29603958412628456,FedTROS-PR
0.9848666666666667,0.2960758377425044,FedTROS-PR
0.9848666666666667,0.29608770593658557,FedTROS-PR
0.9848666666666667,0.2961351882291625,FedTROS-PR
0.9848,0.29623390687041273,FedTROS-PR
0.9848,0.2962636128437055,FedTROS-PR
0.9847333333333333,0.29631487091014863,FedTROS-PR
0.9847333333333333,0.29632675988524887,FedTROS-PR
0.9847333333333333,0.29635054069779104,FedTROS-PR
0.9847333333333333,0.2963743253275547,FedTROS-PR
0.9846666666666667,0.29638994240764155,FedTROS-PR
0.9846,0.29644125970976093,FedTROS-PR
0.9844666666666667,0.2964784773530357,FedTROS-PR
0.9844666666666667,0.29649633570926615,FedTROS-PR
0.9844,0.2965477075090876,FedTROS-PR
0.9842666666666666,0.29665648609548306,FedTROS-PR
0.9842666666666666,0.29668629302895727,FedTROS-PR
0.9840666666666666,0.2967989705231833,FedTROS-PR
0.9840666666666666,0.2968407504977175,FedTROS-PR
0.9840666666666666,0.29693629176640984,FedTROS-PR
0.9840666666666666,0.296960186694027,FedTROS-PR
0.9840666666666666,0.29699006076214235,FedTROS-PR
0.9838666666666667,0.29699543176832827,FedTROS-PR
0.9838666666666667,0.29703129717218474,FedTROS-PR
0.9838,0.2970410628019324,FedTROS-PR
0.9838,0.2970948843389503,FedTROS-PR
0.9838,0.29714274208163016,FedTROS-PR
0.9838,0.2971487253835931,FedTROS-PR
0.9837333333333333,0.2971644917029161,FedTROS-PR
0.9837333333333333,0.2972183616331299,FedTROS-PR
0.9837333333333333,0.29729620824434866,FedTROS-PR
0.9836666666666667,0.2972940299409643,FedTROS-PR
0.9836,0.2972918513742242,FedTROS-PR
0.9836,0.29731581492826054,FedTROS-PR
0.9836,0.29733379012917915,FedTROS-PR
0.9836,0.2975436615173638,FedTROS-PR
0.9835333333333334,0.2975835081491044,FedTROS-PR
0.9835333333333334,0.2975955137773833,FedTROS-PR
0.9835333333333334,0.2976075203744049,FedTROS-PR
0.9835333333333334,0.29763153647514523,FedTROS-PR
0.9834666666666667,0.2976714153113523,FedTROS-PR
0.9834666666666667,0.297689435980224,FedTROS-PR
0.9834,0.29781950333131435,FedTROS-PR
0.9834,0.29791574100254475,FedTROS-PR
0.9834,0.2979518461662762,FedTROS-PR
0.9834,0.2979879600824209,FedTROS-PR
0.9834,0.298,FedTROS-PR
0.9834,0.29803612559098075,FedTROS-PR
0.9833333333333333,0.29804603043100486,FedTROS-PR
0.9832666666666666,0.2981041312959819,FedTROS-PR
0.9832,0.2981200727713766,FedTROS-PR
0.9831333333333333,0.2982324866526452,FedTROS-PR
0.9830666666666666,0.2983389645335545,FedTROS-PR
0.983,0.29839117676818777,FedTROS-PR
0.9828666666666667,0.2984412955465587,FedTROS-PR
0.9828,0.29849960515925245,FedTROS-PR
0.9828,0.29860239011545475,FedTROS-PR
0.9827333333333333,0.29867893179884103,FedTROS-PR
0.9827333333333333,0.2986910358242827,FedTROS-PR
0.9826666666666667,0.29875552312619075,FedTROS-PR
0.9826,0.298880642413919,FedTROS-PR
0.9826,0.2989170114383062,FedTROS-PR
0.9825333333333334,0.29899375152154506,FedTROS-PR
0.9825333333333334,0.29902408342970765,FedTROS-PR
0.982,0.29920172249192584,FedTROS-PR
0.9817333333333333,0.29932719474764724,FedTROS-PR
0.9816,0.29940217170279393,FedTROS-PR
0.9816,0.2994326154597035,FedTROS-PR
0.9814666666666667,0.29956251907620307,FedTROS-PR
0.9814666666666667,0.29957471053863216,FedTROS-PR
0.9814666666666667,0.29958080664197634,FedTROS-PR
0.9812666666666666,0.2996417083994951,FedTROS-PR
0.9811333333333333,0.2996803029994502,FedTROS-PR
0.981,0.29984106284130735,FedTROS-PR
0.981,0.2998777256979825,FedTROS-PR
0.9808,0.29989603930122105,FedTROS-PR
0.9808,0.29993272308413693,FedTROS-PR
0.9808,0.3000244718166245,FedTROS-PR
0.9807333333333333,0.3000407913522333,FedTROS-PR
0.9807333333333333,0.30007139214686385,FedTROS-PR
