recall,precision,method
0.9746666666666667,0.3052255788221048,FedTROS-PR
0.9746,0.30528755795013157,FedTROS-PR
0.9745333333333334,0.3053113055828234,FedTROS-PR
0.9745333333333334,0.305324059569313,FedTROS-PR
0.9744666666666667,0.30539247435388506,FedTROS-PR
0.9744666666666667,0.30550736754101787,FedTROS-PR
0.9744,0.3055503292568203,FedTROS-PR
0.9744,0.30562699956088074,FedTROS-PR
0.9744,0.3057164968938903,FedTROS-PR
0.9744,0.30572928650616016,FedTROS-PR
0.9744,0.30573568171359244,FedTROS-PR
0.9742666666666666,0.30574501025147494,FedTROS-PR
0.9742666666666666,0.30575780400033475,FedTROS-PR
0.9742666666666666,0.3057897930572702,FedTROS-PR
0.9741333333333333,0.3057863346238359,FedTROS-PR
0.9739333333333333,0.30588358458961473,FedTROS-PR
0.9738666666666667,0.30600360299970675,FedTROS-PR
0.9738666666666667,0.3060228343982403,FedTROS-PR
0.9738666666666667,0.30605489210140374,FedTROS-PR
0.9737333333333333,0.3061284372904091,FedTROS-PR
0.9737333333333333,0.3061861937404356,FedTROS-PR
0.9737333333333333,0.3062311304931231,FedTROS-PR
0.9737333333333333,0.30623755110598594,FedTROS-PR
0.9736666666666667,0.30623584668288184,FedTROS-PR
0.9736,0.30625983013526265,FedTROS-PR
0.9736,0.30626625283113834,FedTROS-PR
0.9736,0.3062855225351817,FedTROS-PR
0.9736,0.30630479466420574,FedTROS-PR
0.9735333333333334,0.3063352213131949,FedTROS-PR
0.9734666666666667,0.3063913718578203,FedTROS-PR
