fpr,tpr,method
0.10579487179487179,0.4598,FedTROS-PR
0.10592307692307693,0.45993333333333336,FedTROS-PR
0.10617948717948718,0.4609333333333333,FedTROS-PR
0.10682051282051282,0.4626,FedTROS-PR
0.10694871794871795,0.4632,FedTROS-PR
0.10702564102564102,0.46373333333333333,FedTROS-PR
0.10705128205128205,0.46373333333333333,FedTROS-PR
0.10715384615384616,0.4638,FedTROS-PR
0.10723076923076923,0.4639333333333333,FedTROS-PR
0.10761538461538461,0.4646666666666667,FedTROS-PR
0.10774358974358975,0.4649333333333333,FedTROS-PR
0.10802564102564102,0.4653333333333333,FedTROS-PR
0.10828205128205128,0.4654,FedTROS-PR
0.10851282051282052,0.4654,FedTROS-PR
0.10861538461538461,0.4656,FedTROS-PR
0.10864102564102564,0.46573333333333333,FedTROS-PR
0.10894871794871795,0.4664,FedTROS-PR
0.10925641025641025,0.46686666666666665,FedTROS-PR
0.10930769230769231,0.467,FedTROS-PR
0.10958974358974359,0.46713333333333334,FedTROS-PR
0.1097948717948718,0.4676,FedTROS-PR
0.11038461538461539,0.46873333333333334,FedTROS-PR
0.1107948717948718,0.469,FedTROS-PR
0.1111025641025641,0.4692,FedTROS-PR
0.11176923076923077,0.47013333333333335,FedTROS-PR
0.11184615384615385,0.4703333333333333,FedTROS-PR
0.11217948717948718,0.4712,FedTROS-PR
0.11235897435897436,0.47146666666666665,FedTROS-PR
0.11271794871794871,0.4729333333333333,FedTROS-PR
0.11271794871794871,0.47326666666666667,FedTROS-PR
0.11292307692307692,0.47386666666666666,FedTROS-PR
0.11305128205128205,0.47433333333333333,FedTROS-PR
0.11405128205128205,0.47686666666666666,FedTROS-PR
0.11420512820512821,0.4774,FedTROS-PR
0.11428205128205128,0.47786666666666666,FedTROS-PR
0.11494871794871794,0.4784,FedTROS-PR
0.11517948717948719,0.4786666666666667,FedTROS-PR
0.11541025641025641,0.4788,FedTROS-PR
0.11551282051282051,0.47906666666666664,FedTROS-PR
0.11553846153846153,0.47913333333333336,FedTROS-PR
0.11561538461538462,0.47946666666666665,FedTROS-PR
0.11582051282051282,0.48,FedTROS-PR
0.11592307692307692,0.4802666666666667,FedTROS-PR
0.1161025641025641,0.48113333333333336,FedTROS-PR
0.11653846153846154,0.4815333333333333,FedTROS-PR
0.11661538461538462,0.4816666666666667,FedTROS-PR
0.11661538461538462,0.4818,FedTROS-PR
0.11705128205128205,0.4829333333333333,FedTROS-PR
0.11712820512820513,0.4829333333333333,FedTROS-PR
0.11735897435897436,0.4836,FedTROS-PR
0.11764102564102565,0.4839333333333333,FedTROS-PR
0.11764102564102565,0.48413333333333336,FedTROS-PR
0.11802564102564103,0.4846666666666667,FedTROS-PR
0.11828205128205128,0.48473333333333335,FedTROS-PR
